text,label
on days when i feel close to my partner and other friends when i feel at peace with myself and also experience a close contact with people whom i regard greatly,Happy
every time i imagine that someone i love or i could contact a serious illness even death,Fear
when i had been obviously unjustly treated and had no possibility of elucidating this,Angry
when i think about the short time that we live and relate it to the periods of my life when i think that i did not use this short time,Sad
at a gathering i found myself involuntarily sitting next to two people who expressed opinions that i considered very low and discriminating,Disgust
when i realized that i was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings,Sad
i feel guilty when when i realize that i consider material things more important than caring for my relatives i feel very selfcentered,Sad
after my girlfriend had taken her exam we went to her parents place,Happy
when for the first time i realized the meaning of death,Fear
when a car is overtaking another and i am forced to drive off the road,Angry
when i recently thought about the hard work it takes to study and how one wants to try something else when i read a theoretical book in english that i did not understand,Sad
when i found a bristle in the liver paste tube,Disgust
when i was tired and unmotivated i shouted at my girlfriend and and brought up negative sides of her character which are actually not so important,Sad
when i think that i do not study enough after the weekend i think that i should have been able to have accomplished something during that time,Sad
when i pass an examination which i did not think i did well,Happy
when one has arranged to meet someone and that person arrives late in the meantime one starts thinking about all that could have gone wrong eg a traffic accident,Fear
when one is unjustly accused of something one has not done,Angry
when ones studies seem hopelessly difficult and uninteresting,Sad
when one finds out that someone you know is not at all like one had thought for instance friends who steal and things like that quite unwarranted,Disgust
when one has been unjust stupid towards someone else,Sad
when one has neglected or been unjust to a good friend,Sad
passing an exam i did not expect to pass,Happy
when i climbed up a tree to pick apples the angle of the ladder i was on did not enable me to get high enough this implied that the ladder was not very stable,Fear
friends who torture animals,Angry
same as in anger,Sad
friends who torture animals,Disgust
same as above friends who torture animals,Sad
when excuses are necessary and i get out of doing it myself,Sad
when i had my children,Happy
when my year old son climbed up and sat on the th floor balcony with his legs hanging out he was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down,Fear
when my partner was attacked and lost three teeth,Angry
when i see children on tv from areas devastated by drought and war,Sad
when i nearly walked on a blindworm and then saw it crawl away,Disgust
when i saw my year old son grab an oxygen mask as he had breathing difficulties i had a bad conscience because i had not stopped smoking medication for the dilation of his breathing tubes also caused a sense of guilt in me,Sad
i experience a sense of guilt as my middle son cannot express himself like other children neither verbally nor in writing,Sad
when my child was born,Happy
it was winterspring and the ice was melting i was far out on a jetty and i poked the ice with a long branch to try and break it the branch went through the ice and i fell in the water closed in over my head,Fear
unjust accusations directed at me and my way of acting by someone close to me,Angry
failing an examination,Sad
a drunkard fell started bleeding and wet himself disgust that turned into sadnessunpleasantness,Disgust
when as an adult i have been caught lying or behaving badly,Sad
when i am in an environment or with a person much worse off than me i realize how privileged i am,Sad
when i saw a person i had not seen for a long time,Happy
when as a child i was nearly knocked down by a car,Fear
when i heard on the radio that the football match in belgium had ended in a catastrophe and several people had died i could not understand how normal people could behave in such a way,Angry
when i feel lonely perhaps because i have to study a lot and i am shut up in my appartment nothing happens in particular because there is no time for anything else,Sad
when one learns through the mass media all the wars and killing going on in the world,Disgust
i lied to be precise i cancelled a meeting with a good friend,Sad
when one lets friends down,Sad
when i was accepted for a course on finance and accounting,Happy
a bus drove over my right leg the event itself was not very frightening but when i had to wait in the emergency ward for three hours and then my leg began to swell i was frightened,Fear
at my summer job nobody looked after me in particular and i had to learn all on my own,Angry
when i was not accepted as a student in finance and accounting,Sad
when i had just moved into my new appartment i found a ventilator in the kitchen i was going to clean it when i found that the drum was full of mud and slime i felt disgusted,Disgust
my elder brother and i have not always had a good relationship and i feel ashamed of myself as i do not call him to talk to him nowadays,Sad
at my summer job a new caretaker had been employed who was my age but i preferred going out for lunch with the accounts personnel rather than with him,Sad
passed an exam by points,Happy
in a cottage in a large forest i was alone for a while in the dark,Fear
when i spoke to janerik wikstrm on the telephone,Angry
railway station goodbye,Sad
i saw a cripple in rags with small children in italy he was probably an imposter,Disgust
i told a friend that i was going to a party and he would not enjoy himself if he came along he understood that he would not have fitted in and there was something in that,Sad
i was the reason behind the breakup of my friends relationship with his girlfriend she finished with him,Sad
i passed an exam that i was absolutely certain that i had failed,Happy
on the way back from denmark with a friend on a small yatch there was a storm and my friend was blown overboard i was very scared till i managed to get him back onboard,Fear
i locked myself out,Angry
i missed the last tram home and had to walk in the pouring rain,Sad
i found some worms in the food and i had obviously eaten some,Disgust
my friend was so intoxicated that the police came and took him away and they later contacted his parents,Sad
i hapened to overhear something which i was not meant to hear,Sad
when i won a trip to greece in a competition,Happy
when i am out in the dark and a suspicious looking character comes towards me,Fear
at work when an elderly man complained unjustifiably about me and distrusted me,Angry
when i had not understood anything after a lecture,Sad
when an alcoholic stood dribbling over a food counter,Disgust
when my friend and i were discussing the good looks of a guy we realized that he had been listening,Sad
when i complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that i liked her,Sad
at a friends birthday party with some of my closest friends it was all very pleasant and one could say that i was happy to have such good friends,Happy
on the way home one friday night in the heavy rain the car acquaplanned i lost contact with the road surface for a few seconds,Fear
mad at my dad,Angry
a case of unrequited love,Sad
a bad smelling cucumber,Disgust
nearly caught masturbating,Sad
i do not help out enough at home,Sad
i felt very happy when i won the football pools,Happy
when i flew from athens to copenhagen after a holiday the plane was caught in a storm and it began to shake and i thouhght that we were going to crash,Fear
when someone stole my bike,Angry
when i saw the list of books to read for an acccouting course i thought oh god how will i ever manaage it,Sad
it was when i read a newspaper article on the future and they foresaw that we would be eating frogburgers by the year an illustration showed a frog between two pieces of bread,Disgust
when i dropped a bottle in the state liquor store and everyboby started laughing,Sad
when i was young i pinched from a store and was caught the store then contacted my parents,Sad
when the whole family gets together for a one week holiday everybody feels free and the trip is well planned it works out well and we enjoy ourselves,Happy
when i could not find my year old daughter i ran and looked for her everywhere and could not find her i finally found her she had gone to bed to sleep,Fear
when friends try to put me down or hurt me,Angry
marriage crises boredom,Sad
when someone makes advances that one does not want,Disgust
the discovery that one has only thought of oneself,Sad
when i spanked a child in anger and later regretted it terribly,Sad
when i passed the first examination that i had to repeat,Happy
when i drove to stockholm for the first time and drove off the stora hissingen road at the wrong exit,Fear
when my boyfriend went away for a month long holiday without me,Angry
last year when i worked during the summer holidays and studied at the same time for an examination i had to repeat my boyfriend went to greece for a holiday for a month,Sad
when a dog is left whining outside a shop,Disgust
when i promised to help a friend over a weekend and did not keep the promise,Sad
when i realized that i had three more examinations to take,Sad
the day i was told that i had been accepted as a student of economics,Happy
while taking a short cut through the vasa park i was surrounded by three people who tried to steal my money i was scared and was saved only by the appearance of other people,Fear
at a restaurant i observed how the gypsies tried to get money by cheating the foreigners ie non swedish speaking my anger had nothing to do with hatred against foreigners but it was an expression of the anger i feel when i see people being used,Angry
at the begining of a new course one is afraid of encountering problems one can not manage thoughts revolve around failing the subject and the consequences it would have for the future,Sad
while walking in town i noticed how the police harrassed a man who was under the influence of alcohol they terrified him with the thought of arrest by driving close behind him on a pedestrian street my disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves,Disgust
when my boyfriend revealed that he knew that i had discovered things of an important nature about him i felt ashamed as i had not mentioned it earlier,Sad
when i am dishonest to a friend to whom i am very close i feel guilty because i know that he gives a different version of the truth and i have not corrected these mistakes and he is aware that i know that they are wrong,Sad
when i found out that i had passed the last two exams by a margin of three marks,Happy
when my father was ill and was waiting for the results of his tests,Fear
when i got caught in the pouring rain last thursday and did not have a raincoat on me,Angry
when i failed an exam,Sad
at a smrgasbord table a man mixed differnet kinds of picked herrings with fruit salad,Disgust
when i had not prepared my contribution to the group as thoroughly as the other members with the result that the overall result was poor,Sad
when my father and i worked on the house just after he had recovered from illness i was rather lazy this meant that he had to work hard and was not very well later,Sad
when i gave birth to my son and saw that he was alive and that i had managed it well he was born a month too early with a malfunctioning lung this happened a year ago,Happy
when i found out that my father had lung cancer and they did not know how long he would live,Fear
when a colleague asked me for help at work despite the fact that he had more time to do it than i had,Angry
when i did not get the salary increase that i had been expecting and understood how little ones work was appreciated,Sad
when i was weeding the garden i found a lizard in my hand,Disgust
when i met a friend whom i had not seen for a long time and heard all about her troubles i thought that i should have got in touch with her earlier,Sad
i got angry at my mother for something trivial we were in a bad mood because my father was very ill and i knew that my mother really needed support i had reacted wrongly,Sad
new years eve i met my girlfriend we stood on the steps outside her parents home and i kissed her for the first time,Happy
